ten,Gia,Tinh_trang,Kich_thuoc_man_hinh,Cong_nghe_man_hinh,Camera_truoc,Camera_sau,Chipset,Cong_nghe_NFC,Dung_luong_ram,Bo_nho_trong,Dung_luong_pin,The_SIM,Do_phan_giai_man_hinh,Tinh_nang_man_hinh,Loai_CPU,loai_san_pham
OPPO Find X8 (16GB - 1TB),,,6.59 inches,AMOLED,không có thông tin,"50 OIS + 50 + 50(Peri Tele, OIS)/ 32 AF",MTK D9400,Có,16 GB,1 TB,5630 mAh,2 Nano-SIM,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Samsung Galaxy A34 8GB 256GB-Bạc,,,6.6 inches,AMOLED,"Camera góc rộng: 13MP, f/2.2, 1/3.1"", 1.12µm","Camera góc rộng: 48MP, f/1.8, 26mm , 1/2.0"", 0.8µm, PDAF, OIS
Camera góc siêu rộng: 8MP, f/2.2, 123, 1/4.0"", 1.12µm
Camera macro: 5MP, f/2.4",Dimensity 1080 (5 nm),Có,8 GB,256 GB,5.000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz
Corning Gorilla Glass 5",không có thông tin,Điện thoại
Redmi A1+,,,6.52 inches,IPS LCD,"5 MP, f/2.4",8 MP,Mediatek MT6761 Helio A22 (12 nm),không có thông tin,4 GB,32 GB,5000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,"IPS LCD, 400 nits (typ), 60 Hz",không có thông tin,Điện thoại
Vsmart Aris 2,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Vsmart Live 5,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Xiaomi Redmi Note 10 Lite,,,6.66 inches,IPS LCD,"16 MP, f/2.5","Camera góc rộng: 48 MP, f/1.9, PDAF
Camera góc siêu rộng: 8 MP, f/2.2
Camera macro: 5 MP, f/2.4, AF
Camera cảm biến độ sâu: 2 MP, f/2.4,",Snapdragon 720G (8 nm),không có thông tin,6 GB,128 GB,5020 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),Corning Gorilla Glass 5,không có thông tin,Điện thoại
Xiaomi 12 Lite,,,6.55 inches,AMOLED,"Camera góc rộng: 32 MP, f/2.5","Camera góc rộng: 108 MP, f/1.9, PDAF
Camera góc siêu rộng: 8 MP, f/2.2, 120˚
Camera macro: 2 MP, f/2.4",Snapdragon 778G 5G 6 nm,không có thông tin,6 GB,128 GB,Li-Po 4300 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"120 Hz, Dolby Vision®, HDR10+, Corning® Gorilla® Glass 5, TrueColor",không có thông tin,Điện thoại
Samsung Galaxy S22 Note,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Nokia G11,,,6.5 inches,TFT LCD,8 MP,13 MP + 2 MP + 2 MP,Unisoc T606,không có thông tin,4 GB,32 GB,5050 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,"Tần số quét 90Hz, 400 nits, Kính cường lực Panda",không có thông tin,Điện thoại
OnePlus Ace,,,6.7 inches,OLED,"16 MP, f/2.4, 26mm (Rộng)","50 MP, f/1.9, 24mm (Rộng)
8 MP, f/2.2, 16mm, 120˚ (Siêu rộng)
2 MP, f/2.4, (macro)",MediaTek Dimensity 8100 Max,không có thông tin,8 GB,128 GB,Li-Po 4500 mAh,2 SIM (Nano-SIM),1080 x 2412 pixels,"1B màu
120Hz
HDR10+
500 nits (typ)
800 nits (HBM)
950 nits (peak)",không có thông tin,Điện thoại
Xiaomi Poco C40,,,6.7 inches,IPS LCD,"5 MP, f/2.0","50 MP, f/1.8, 26mm (wide), PDAF
2 MP, f/2.4, (depth)",Qualcomm SM6225 Snapdragon 680 4G (6 nm),không có thông tin,3 GB,32 GB,Li-Po 6000 mAh,2 SIM (Nano-SIM),720 x 1650 pixels,không có thông tin,không có thông tin,Điện thoại
vivo S15,,,6.62 inches,AMOLED,"32 MP, f/2.0, (Camera góc rộng)","64 MP, f/1.9, 25mm (Camera góc rộng), 1/1.72"", PDAF, OIS
8 MP, f/2.2, 16mm, 120˚ (Camera góc siêu rộng)
2 MP, f/2.4, (Camera Macro)",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),không có thông tin,8 GB,128 GB,Li-Po 4500 mAh (Không thể tháo rời),2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"AMOLED 120Hz
HDR10+
1300 nits",không có thông tin,Điện thoại
Vivo Y15c,,,6.51 inches,IPS LCD,8MP,13MP+2MP,Helio P35,không có thông tin,3 GB,32 GB,5000mAh,2 SIM (Nano-SIM),1600 x 720 pixels (HD+),không có thông tin,không có thông tin,Điện thoại
Xiaomi Redmi 11,,,6.58 inches,IPS LCD,"5 MP, f/2.0","Camera góc rộng: 50 MP, f/1.8, PDAF
Camera đo chiều sâu: 2MP, f/2.4",Mediatek MT6833 Dimensity 700 (7 nm),không có thông tin,4 GB,64 GB,5.000 mAh,2 SIM (Nano-SIM),1080 x 2408 pixels,Tần số quét 90Hz,không có thông tin,Điện thoại
ASUS 8z,,,5.9 inches,AMOLED,12 MP,"Camera chính: 64 MP, f/1.73
16 MP",Qualcomm® Snapdragon™ 888 5G,không có thông tin,8 GB,128 GB,4000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Độ sáng tối đa 1100 nits
112% DCI-P3
107% NTSC
151.9% sRGB
Hỗ trợ màn hình luôn bật
Hỗ trợ cảm ứng găng tay",không có thông tin,Điện thoại
Samsung Galaxy XCover Pro 2,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Snapdragon 778G 5G 8 nhân,không có thông tin,6 GB,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Xiaomi Redmi K40S,,,6.66 inches,Super AMOLED,"20 MP, f/2.5, (wide), 1/3.4"", 0.8µm","48 MP, f/1.8, 26mm (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide)
5 MP, f/2.4, 50mm (macro), 1/5.0"", 1.12µm",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),không có thông tin,6 GB,128 GB,Li-Po 4520 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Super AMOLED
120Hz
HDR10+
1300 nits",không có thông tin,Điện thoại
OPPO F21 Pro,,,6.43 inches,AMOLED,"Camera gốc rộng: 32 MP, f / 2.4","Camera gốc rộng: 64 MP, f / 1.7, PDAF
Camera macro: 2 MP, f / 3.3
Camera chân dung: 2 MP, f / 2.4",Qualcomm SM6225 Snapdragon 680 4G (6 nm),không có thông tin,6 GB,128 GB,Li-Po 4500 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"AMOLED, 90Hz, 430 nits (typ)",không có thông tin,Điện thoại
Vivo S15 Pro,,,6.56 inches,AMOLED,"32 MP, f/2.5","Camera góc rộng: 50 MP, f/1.9, PDAF, OIS
Camera góc siêu rộng 12 MP, f/2.2, 116˚
Camera cảm biến độ sâu: 2 MP, f/2.4",MediaTek Dimensity 8100 (5 nm),không có thông tin,8 GB,256 GB,Li-Po 4500 mAh,2 SIM (Nano-SIM),1080 x 2376 pixels (FullHD+),"Màn hình AMOLED, 120Hz
HDR10+, 1500 nits",không có thông tin,Điện thoại
Xiaomi Redmi K50S Pro,,,6.66 inches,OLED,Camera góc rộng: 20 MP,"Camera góc rộng: 108 MP, 1/1.52, PDAF, OIS
Camera góc cực rộng: 8 MP, 119˚
Camera Macro: 2 MP, f /2.4",MediaTek 9000 (4 nm),không có thông tin,8 GB,128 GB,Li-Po 5000 mAh,2 SIM (Nano-SIM),1440 x 3200 pixels (QHD+),"120Hz, Dolby Vision, HDR10+, 1200 nits, Kính cường lực Corning Gorilla Glass Victus",không có thông tin,Điện thoại
Vivo Y77e 5G,,,6.58 inches,IPS LCD,"Camera góc rộng: 8 MP, f / 2.0","Camera góc rộng: 13 MP, f/2.2, PDAF
Camera Macro: 2 MP, f/2.4",Dimensity 810 (6 nm),không có thông tin,6 GB,128 GB,Li-Po 5000 mAh,2 SIM (Nano-SIM),1080 x 2408 pixels,không có thông tin,không có thông tin,Điện thoại
Xiaomi Redmi 11 Pro,,,không có thông tin,IPS LCD,5MP,"Camera chính: 50MP
Cảm biến độ sâu: 2MP",MediaTek Dimensity 700,không có thông tin,6 GB,128 GB,5000mAh,không có thông tin,1080 x 2408 pixels,90Hz,không có thông tin,Điện thoại
Samsung W23 Flip,,,6.2 inches,OLED,không có thông tin,không có thông tin,Snapdragon 8+ Gen 1,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,2176 x 1812 pixels (QXGA+),tần số quét 120 Hz.,không có thông tin,Điện thoại
Vivo Y11 4G,,,6.51 inches,IPS LCD,5MP,8MP,không có thông tin,không có thông tin,6 GB,64 GB,"5,000mAh",không có thông tin,720 x 1600 pixel,Tốc độ làm mới 60Hz,không có thông tin,Điện thoại
Vivo Y100A,,,6.38 inches,AMOLED,16 MP,"Camera chính: 64 MP
Camera đo chiều sâu: 2 MP
Camera macro: 2 MP",Dimensity 920,không có thông tin,8 GB,256 GB,4.500 mAh,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Realme C50s,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Huawei Nova 8 SE Vitality Edition,,,6.6 inches,không có thông tin,16 MP,"Chính 48 MP & Phụ 2 MP, 2 MP",Kirin 710A 8 nhân,không có thông tin,8 GB,128 GB,4000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
Realme 8s,,,6.5 inches,Super AMOLED,16MP,"Camera chính góc rộng: 64 MP, f/1.8,PDAF
Camera góc siêu rộng: 8 MP, f/2.3
Camera cận cảnh: 2 MP, f/2.4
Camera cảm biến độ sâu: 2 MP, f/2.4, (depth)",MediaTek Dimensity 810,không có thông tin,6 GB,128 GB,5000 mAh,không có thông tin,không có thông tin,"Tần số quét 90Hz, độ phân giải Full-HD+",không có thông tin,Điện thoại
Vivo X70,,,6.56 inches,AMOLED,32 MP,48 MP + 8 MP + 5 MP,Qualcomm SM8250 Snapdragon 865 (7 nm+),không có thông tin,8 GB,128 GB,4500 mAh,2 SIM (Nano-SIM),không có thông tin,không có thông tin,không có thông tin,Điện thoại
Xiaomi Mi 10i,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Samsung Galaxy M02s,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Samsung Galaxy M32s,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Xiaomi Note 11,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Samsung Galaxy F32,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Samsung Galaxy F42,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Samsung Galaxy A43,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Samsung Galaxy Note 30 Ultra,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Điện thoại Phillips E506,,,2.4 inches,TFT LCD,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,1700 mAh lithium ion battery 3.7V,2 SIM (Nano-SIM),240 x 320 pixels,không có thông tin,không có thông tin,Điện thoại
Xiaomi Mi 11X,,,6.66 inches,Super AMOLED,"20 MP, f/2.5","Ống kính góc rộng 48 MP, f/1.8
Ống kính góc siêu rộng 8 MP, f/2.2
Ống kính macro 5 MP, f/2.4",Snapdragon 870 5G (7 nm),không có thông tin,6 GB,128 GB,4520 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz
Hỗ trợ HDR10+
Độ sáng 1300 nits",không có thông tin,Điện thoại
Realme X7 Max,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Xiaomi Poco F3 GT,,,6.66 inches,OLED,16 MP,"Camera chính góc rộng: 64 MP, f/1.7, PDAF
Camera góc siêu rộng: 8 MP, f/2.2
Camera cận cảnh: 2 MP, f/2.4",MediaTek Dimensity 1200 8 nhân,không có thông tin,8 GB,256 GB,5065 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120 Hz, 500 nits",không có thông tin,Điện thoại
Xiaomi Redmi Note 10 JE,,,6.5 inches,IPS LCD,8 MP,"Chính 48 MP & Phụ 2 MP, 2 MP",Snapdragon 480 8 nhân 5G,không có thông tin,4 GB,64 GB,4800 mAh,không có thông tin,1080 x 2400 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
Vivo Y12G,,,6.51 inches,IPS LCD,8 MP,"Chính 13 MP & Phụ 2 MP, 2 MP",Snapdragon 439,không có thông tin,3 GB,32 GB,5000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,không có thông tin,không có thông tin,Điện thoại
OPPO A16s,,,6.52 inches,IPS LCD,8 MP,"Chính 13 MP & Phụ 2 MP, 2 MP",MediaTek Helio G35 8 nhân,không có thông tin,4 GB,64 GB,5000 mAh,2 SIM (Nano-SIM),không có thông tin,không có thông tin,không có thông tin,Điện thoại
Xiaomi Mi 11 Lite new 5G,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Huawei Nova Y60,,,6.6 inches,TFT LCD,"8 MP, f/2.0","Camera góc rộng: 13MP, f/1.8, 26mm, PDAF
Camera góc cực rộng: 5MP, f/2.2, 120˚
Camera góc sâu: 2MP, f/2.4",Mediatek MT6765,không có thông tin,4 GB,64 GB,5000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,"16,7 triệu màu,",không có thông tin,Điện thoại
Vivo Nex 5,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Vivo S10,,,6.44 inches,Super AMOLED,25 MP,64 MP + 8 MP + 2 MP,Dimensity 1100,không có thông tin,8 GB,128 GB,không có thông tin,không có thông tin,1080 x 2340 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
Xiaomi Mi CC11,,,6.47 inches,Super AMOLED,không có thông tin,không có thông tin,Snapdragon 888+,không có thông tin,6 GB,128 GB,5000 mAh,không có thông tin,không có thông tin,120Hz,không có thông tin,Điện thoại
Vivo Y33e,,,6.51 inches,IPS LCD,"Camera gốc rộng: 8 MP, f /2.0","Camera gốc rộng: 13 MP, f /2.2, 26mm, Macro: PDAF 2 MP, f /2.4",MediaTek MT6833 Mật độ 700 (7 nm),không có thông tin,4 GB,128 GB,Li-Po 5000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,không có thông tin,không có thông tin,Điện thoại
Vivo T2x,,,6.58 inches,IPS LCD,"Camera gốc rộng: 16 MP, f / 2.0","Camera góc rộng: 50 MP, f/1.8, 26mm, PDAF
Camera macro: 2 MP, f/2.4",Mediatek Dimensity 1300 (6 nm),không có thông tin,6 GB,128 GB,6000 mAh,2 SIM (Nano-SIM),1080 x 2408 pixels,"Tốc độ làm tươi 144 Hz, 650 nits",không có thông tin,Điện thoại
Xiaomi Redmi K50 Ultra,,,6.66 inches,OLED,"20 MP, f/2.4","Camera gốc rộng: 50 MP, f/1.9
Camera gốc siêu rộng: 8 MP, f/2.2, 120˚
Camera macro: 2 MP, f/2.4",Snapdragon 8+ gen 1 (4 nm),không có thông tin,8 GB,128 GB,Li-Po 5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"OLED, 1B màu, 120Hz, HDR10 +, 800 nits (HBM)",không có thông tin,Điện thoại
Honor X40i,,,6.7 inches,IPS LCD,"Camera góc rộng: 8 MP, f/2.0","Camera góc rộng: 50 MP, f/1.8, PDAF
Camera góc sâu: 2 MP, f/2.4",MediaTek MT6833 Dimensity 700 (7 nm),không có thông tin,8 GB,128 GB,Li-Po 4000 mAh,2 SIM (Nano-SIM),1080 x 2388 pixels,không có thông tin,không có thông tin,Điện thoại
Nubia Red Magic 7 Pro,,,6.8 inches,AMOLED,"Camera góc rộng: 16 MP, f / 2.0","Camera góc rộng: 64 MP, f /1.8
Camera góc siêu rộng: 8 MP, f /2.2
Camera macro: 2 MP, f / 2.4,",Qualcomm SM8450 Snapdragon 8 gen 1 (4 nm),không có thông tin,16 GB,256 GB,Li-Po 5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),Corning Gorilla Glass 5,không có thông tin,Điện thoại
Tecno Spark 8P,,,6.6 inches,IPS LCD,Camera góc rộng: 8 MP,50 MP + 2MP + 8MP,Bộ xử lý Octa-core,không có thông tin,4 GB,64 GB,"Li-Po 5000 mAh, không thể tháo rời",2 SIM (Nano-SIM),1080 x 2408 pixels,không có thông tin,không có thông tin,Điện thoại
Nubia Red Magic 7S,,,6.8 inches,OLED,"Camera góc rộng: 8 MP, f/2.0","Camera góc rộng: 64 MP, f/1.8, 26mm , PDAF
Camera góc siêu rộng: 8 MP, f/2.0, 120˚, 13mm
Macro: 2 MP, f/2.4,",Qualcomm SM8450 Snapdragon 8+ Gen 1 (4 nm),không có thông tin,8 GB,128 GB,Li-Po 4500 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),Corning Gorilla Glass 5,không có thông tin,Điện thoại
Vivo Y20G,,,6.5 inches,IPS LCD,8 MP,13 MP + 2 MP + 2 MP,Mediatek Helio G80 (12 nm),không có thông tin,6 GB,128 GB,Li-Po 5000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,không có thông tin,không có thông tin,Điện thoại
Realme Narzo 30,,,6.5 inches,IPS LCD,"16 MP, f/2.1, 26mm (góc rộng)","Cam chính 48 MP, f/1.8 (góc rộng)
8 MP, f/2.3 (góc siêu rộng)
2 MP, f/2.4 (macro)
2 MP, f/2.4 (đo chiều sâu)",MediaTek Dimensity 800U,không có thông tin,6 GB,128 GB,Li-Po 4880 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 90Hz
Kính cường lực Gorilla Glass",không có thông tin,Điện thoại
Xiaomi Mi 11 Ultra,,,6.8 inches,OLED,"Cam chính 20 MP, f/2.3 (góc rộng)","Cam chính 50MP , f/1.9 (góc rộng)
Cam Tele 48 MP, f/4.1
48 MP (góc siêu rộng)",Qualcom Snapdragon 888,không có thông tin,không có thông tin,không có thông tin,Li-Po 5000 mAh,2 SIM (Nano-SIM),1440 x 3200 pixels (QHD+),"Tần số quét 120Hz
HDR10+
Kính cường lực Corning Gorilla Glass Victus",không có thông tin,Điện thoại
Xiaomi Mi 11i 8G 256GB,,,6.81 inches,AMOLED,"20 MP, 27mm , 1/3.4"", 0.8µm","Camera góc rộng: 108 MP, f/1.9, 26mm 1/1.33"", 0.8µm, PDAF, OIS
Camera góc siêu rộng: 13 MP, f/2.4, 123˚ 1/3.06"", 1.12µm
Camera macro: 5 MP, f/2.4, 1/5.0"", 1.12µm",Qualcomm SM8350 Snapdragon 888 (5 nm),không có thông tin,12 GB,256 GB,Li-Po 4600 mAh,2 SIM (Nano-SIM),1440 x 3200 pixels (QHD+),"Hiển thị 1 tỷ màu, tần số quét 120Hz, HDR10+, độ sáng tối đa 1500 nits",không có thông tin,Điện thoại
Realme Narzo 30 Pro,,,6.5 inches,IPS LCD,16MP,48MP + 8MP + 2MP,Dimensity 800U 5G (7 nm),không có thông tin,6 GB,64 GB,Li-Po 5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz, độ sáng tối đa 600 nits",không có thông tin,Điện thoại
Realme GT,,,6.43 inches,OLED,Đang cập nhật,64MP + 13MP + 13MP,Snapdragon 888 (5 nm),không có thông tin,12 GB,256 GB,Li-Po 5000 mAh,2 SIM (Nano-SIM),1440 x 3200 pixels (QHD+),"Tần số quét 160Hz, HDR10",không có thông tin,Điện thoại
Vivo Y77T,,,6.53 inches,IPS LCD,"Camera góc rộng: 8MP, f/2.0","Camera góc rộng: 48MP, f/1.8, 25mm, 1/2.0"", 0.8µm, PDAF
Camera đo độ sâu: 2MP, f/2.4
Camera macro: 2MP, f/2.4",Exynos 880 (8 nm),không có thông tin,6 GB,128 GB,4500 mAh,2 SIM (Nano-SIM),1080 x 2340 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
"Điện thoại iPhone | Chính hãng VN/A, giảm giá 15 tới 27%",28990000.0,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Oppo Reno 20x Zoom,,,6.5 inches,Amoled,"16 MP, f/2.0","48 MP, f/1.7 + 13 MP, f/3.0 + 8 MP, f/2.2",Qualcomm SDM855 Snapdragon 855 (7 nm),không có thông tin,8 GB,256 GB,4065 mAh,Nano-SIM,1080 x 2340 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
Huawei Mate X3,,,7.85 inches,OLED,8 MP (khẩu độ F2.4),"Camera Ultra Vision: 50 MP, f1.8
Camera góc siêu rộng: 13 MP f2.2
Camera tele: 12 MP f3.4, OIS",Snapdragon 8+ Gen 1 4G,không có thông tin,12 GB,512 GB,4800 mAh,2 SIM (Nano-SIM),không có thông tin,"Tần số quét 120 Hz, 1.07 tỉ màu
Độ phân giải khi gập: 2504 × 1080 Pixels
Độ phân giải khi gập: 2496 × 2224 Pixels",không có thông tin,Điện thoại
OPPO Reno8 Lite,,,6.43 inches,AMOLED,16 MP,"Camera chính: 64 MP
Camera xoá phông: 2 MP
Camera cận cảnh: 2 MP MP",Qualcomm SM6375 Snapdragon 695 5G (6 nm),không có thông tin,8 GB,128 GB,4500 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
Samsung Galaxy S22 FE,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Tecno Spark 9,,,6.6 inches,IPS LCD,Camera góc rộng: 8 MP,"Camera góc rộng: 13 MP, f / 1.9, 27 mm, AF",Mediatek MT6765V / CB Helio G37 (12 nm),Không,3 GB,64 GB,"Li-Po 5000 mAh, không thể tháo rời",2 SIM (Nano-SIM),720 x 1600 pixel,không có thông tin,không có thông tin,Điện thoại
Điện thoại OPPO,4990000.0,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
OnePlus Nord 2T,,,6.43 inches,AMOLED,không có thông tin,"Camera chính 50 MP, camera 8 MP và camera phụ 2 MP",Dimensity 1300,Có,không có thông tin,không có thông tin,4.500 mAh,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Realme X7,,,6.4 inches,"AMOLED capacitive touchscreen, 16M colors, Corning Gorilla Glass","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)",MediaTek Dimensity 800U 5G (7 nm),Không,6 GB,128 GB,"Li-Po 4300 mAh, Fast charging 65W, 100% in 33 min",2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
Samsung Galaxy F41,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Không,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Huawei Enjoy 20 Pro,,,6.5 inches,"IPS LCD capacitive touchscreen, 16M colors","16 MP, f/2.0","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.4, 120˚ (ultrawide)
2 MP, f/2.4, (macro)",MediaTek MT6873V Dimensity 800 5G (7 nm),Không,8 GB,128 GB,Li-Po 4000 mAh battery,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
Realme 3i 64GB,,,6.2 inches,IPS LCD,13 MP,Chính 13 MP & Phụ 2 MP,MediaTek Helio P60 8 nhân 64-bit,Không,4 GB,64 GB,Pin chuẩn Li-Ion 4230 mAh,2 SIM (Nano-SIM),720 x 1520 pixels,không có thông tin,không có thông tin,Điện thoại
Vivo V15 128GB,,,6.53 inches,IPS LCD,32 MP,"Chính 12 MP & Phụ 8 MP, 5 MP",MediaTek Helio P70 8 nhân,Không,6 GB,128 GB,4000 mAh,2 SIM (Nano-SIM),1080 x 2340 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
Xiaomi POCO M3,,,6.53 inches,IPS LCD,"8 MP, f/2.0, 27mm (wide), 1/4.0"", 1.12µm","48 MP, f/2.0, 26mm (wide), 1/2.55"", 0.7µm, PDAF
8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro)",Qualcomm SM6115 Snapdragon 662 (11 nm),Không,6 GB,128 GB,"Li-Po 6000 mAh, Fast charging 18W",2 SIM (Nano-SIM),1920 x 1080 pixels (FullHD),không có thông tin,không có thông tin,Điện thoại
Nokia C3,,,5.99 inches,"IPS LCD capacitive touchscreen, 16M colors","5 MP, f/2.4","8 MP, f/2.0, AF",Unisoc SC9863A (28nm),Không,3 GB,32 GB,Li-Ion 3040 mAh battery,2 SIM (Nano-SIM),720 x 1440 pixels,không có thông tin,không có thông tin,Điện thoại
